Time [s];Force [kN]
0.0;0.0
0.050000000745;0.0
0.10000000149;0.0
0.15000000596;0.0
0.20000000298;0.0
0.25;8.483966703e-17
0.30000001192;0.87253516912
0.34999999404;-2.2554974556
0.40000000596;0.77316224575
0.44999998808;-0.019501809031
0.5;2.9060745239
0.55049997568;1.6851812601
0.6004999876;-0.76438868046
0.65049999952;-2.669301033
0.70050001144;0.4465585947
0.75050002337;-0.82473611832
0.80049997568;3.9728343487
0.8504999876;1.3846262693
0.90049999952;-2.3531067371
0.95050001144;-1.3755048513
1.0004999638;0.67878139019
1.0505000353;1.3145010471
1.1004999876;0.86697143316
1.1505000591;-1.0342741013
1.2005000114;0.43379408121
1.2504999638;2.0605225563
1.3005000353;0.92004132271
1.3504999876;1.1061356068
1.4005000591;-1.6328519583
1.4505000114;-0.092636138201
1.5004999638;1.9273822308
1.5505000353;1.3679965734
1.6004999876;0.21253089607
1.6505000591;-0.058546938002
1.7005000114;0.58232539892
1.7504999638;1.6336444616
1.8005000353;-0.33845999837
1.8504999876;-1.4593849182
1.9005000591;1.243442297
1.9505000114;1.1652777195
2.0004999638;0.67338228226
2.0504999161;2.4866621494
2.1005001068;2.9670078754
2.1505000591;3.2804324627
2.2005000114;0.48914003372
2.2504999638;-3.4545109272
2.3004999161;-0.42558333278
2.3505001068;2.2858169079
2.4005000591;3.2218577862
2.4505000114;0.69165366888
2.5;-2.7145373821
2.5499999523;-3.3183717728
2.5999999046;1.4759582281
2.6500000954;3.0538461208
2.7000000477;1.493289113
2.75;-0.90956538916
2.7999999523;-2.3999042511
2.8499999046;-0.39160439372
2.9000000954;-0.41904628277
2.9500000477;0.0037778883707
3.0;1.0523586273
3.0499999523;0.76210957766
3.0999999046;-1.1106278896
3.1500000954;-1.8799675703
3.2000000477;-1.5342946053
3.25;0.24557822943
3.2999999523;0.594625175
3.3499999046;-1.2106378078
3.4000000954;-1.7976828814
3.4500000477;-1.9047342539
3.5;-1.7101300955
3.5499999523;-0.21105714142
3.5999999046;0.090578369796
3.6500000954;-0.91470932961
3.7000000477;-1.120983839
3.75;-1.3750482798
3.7999999523;-1.6484398842
3.8499999046;-1.1224261522
3.9000000954;-1.2998342514
3.9500000477;-1.6375073195
4.0;-1.3920499086
4.0500001907;-1.5420435667
4.0999999046;-1.4466692209
4.1500000954;-0.97068095207
4.1999998093;-1.1413997412
4.25;-1.4466158152
4.3000001907;-1.3842033148
4.3499999046;-1.5460649729
4.4000000954;-1.7827712297
4.4499998093;-1.5444965363
4.5;-1.9020324945
4.5500001907;-1.3637988567
4.5999999046;-1.5480005741
4.6500000954;-1.691204071
4.6999998093;-1.7921106815
4.75;-1.5292600393
4.8000001907;-1.7681716681
4.8499999046;-1.7522958517
4.9000000954;-2.0628328323
4.9505000114;-2.0185856819
5.0005002022;-1.7547775507
5.0504999161;-1.7627323866
5.1005001068;-1.6699186563
5.1504998207;-1.6500923634
5.2005000114;-1.5540242195
5.2505002022;-1.7883456945
5.3004999161;-1.6249905825
5.3505001068;-2.0097551346
5.4004998207;-2.2011945248
5.4505000114;-2.2918281555
5.5005002022;-2.2622044086
5.5504999161;-1.8347287178
5.6005001068;-1.4886521101
5.6504998207;-1.6328462362
5.7005000114;-1.6171773672
5.7505002022;-1.7124425173
5.8004999161;-2.1488468647
5.8505001068;-2.0944499969
5.9004998207;-2.2588968277
5.9505000114;-2.338186264
6.0005002022;-2.0907862186
6.0504999161;-1.9917265177
6.1005001068;-2.0126214027
6.1504998207;-1.9652910233
6.2005000114;-1.9783990383
6.2505002022;-2.363846302
6.3004999161;-2.5658500195
6.3505001068;-2.5106971264
6.4004998207;-2.2453634739
6.4505000114;-2.1052339077
6.5005002022;-2.0226037502
6.5504999161;-2.0619463921
6.6005001068;-2.1136741638
6.6504998207;-2.2150607109
6.7005000114;-2.4879770279
6.7505002022;-2.5407764912
6.8004999161;-2.7672424316
6.8505001068;-2.7522084713
6.9004998207;-2.6445243359
6.9505000114;-2.3043048382
7.0005002022;-2.4396448135
7.0504999161;-2.3504216671
7.1005001068;-2.2989571095
7.1504998207;-2.3709037304
7.2005000114;-2.2884569168
7.2505002022;-2.5616919994
7.3004999161;-2.5072050095
7.3505001068;-2.4407536983
7.4004998207;-2.2615919113
7.4505000114;-2.4928240776
7.5005002022;-2.2377343178
7.5504999161;-2.5392737389
7.6005001068;-2.5848104954
7.6504998207;-2.5431213379
7.7005000114;-2.5169119835
7.7505002022;-2.7503292561
7.8004999161;-2.5502750874
7.8505001068;-2.5779325962
7.9004998207;-2.4931378365
7.9505000114;-2.3589446545
8.0004997253;-2.4973886013
8.0504999161;-2.4231808186
8.1005001068;-2.5801331997
8.1505002975;-2.7208647728
