Time [s];Force [kN]
0.0;0.0
0.049499999732;0.0
0.099500000477;0.0
0.1494999975;0.0
0.19949999452;0.0
0.24950000644;0.0
0.29949998856;0.0
0.34950000048;0.0
0.3995000124;0.0
0.44949999452;0.0
0.49950000644;0.0
0.55000001192;0.0
0.60000002384;0.0
0.64999997616;0.0
0.69999998808;0.0
0.75;0.0
0.80000001192;0.0
0.85000002384;0.0
0.89999997616;0.0
0.94999998808;0.0
1.0;0.0
1.0499999523;0.0
1.1000000238;0.0
1.1499999762;0.0
1.2000000477;0.0
1.25;0.0
1.2999999523;0.0
1.3500000238;0.0
1.3999999762;0.0
1.4500000477;0.0
1.5;0.0
1.5499999523;0.0
1.6000000238;0.0
1.6499999762;0.0
1.7000000477;0.0
1.75;0.0
1.7999999523;0.0
1.8500000238;0.0
1.8999999762;0.0
1.9500000477;0.0
2.0;0.0
2.0499999523;0.0
2.0999999046;0.0
2.1500000954;0.0
2.2000000477;0.0
2.25;0.0
2.2999999523;0.0
2.3499999046;0.0
2.4000000954;0.0
2.4500000477;0.0
2.4995000362;0.0
2.5494999886;0.0
2.5994999409;-0.016953526065
2.6494998932;0.012514708564
2.6995000839;0.007056853734
2.7495000362;0.0
2.7994999886;0.035228930414
2.8494999409;0.014350647107
2.8994998932;0.0
2.9495000839;0.0
2.9995000362;0.0
3.0494999886;0.0
3.0994999409;0.0
3.1494998932;0.0
3.1995000839;0.0
3.2495000362;0.0
3.2994999886;0.0
3.3494999409;0.0
3.3994998932;0.0
3.4495000839;0.0
3.4995000362;0.0
3.5494999886;0.0
3.5994999409;0.0
3.6494998932;0.0
3.6995000839;0.0
3.7495000362;0.0
3.7994999886;0.0
3.8494999409;0.0
3.8994998932;0.0
3.9495000839;0.0
3.9995000362;0.0
4.0494999886;0.0
4.0995001793;0.010195508599
4.1494998932;0.016452394426
4.1995000839;0.040811091661
4.2494997978;0.028991976753
4.2994999886;0.013764152303
4.3495001793;0.040190123022
4.3994998932;0.021435704082
4.4495000839;0.0019184395205
4.4994997978;0.0015539805172
4.5494999886;0.0
4.5995001793;0.0
4.6494998932;0.0
4.6995000839;0.0
4.7494997978;0.0
4.7994999886;0.0
4.8495001793;0.0
4.8994998932;0.0
4.9499998093;0.0
5.0;0.0
5.0500001907;0.0
5.0999999046;0.0
5.1500000954;0.0
5.1999998093;0.0
5.25;4.2961037252e-06
5.3000001907;0.033382784575
5.3499999046;0.000896172598
5.4000000954;0.027373343706
5.4499998093;0.038429513574
5.5;0.033070251346
5.5500001907;0.043079502881
5.5999999046;0.030396955088
5.6500000954;0.023171767592
5.6999998093;0.0060869487934
5.75;0.00042437433149
5.8000001907;0.0048578437418
5.8499999046;0.0027863858268
5.9000000954;0.0
5.9499998093;0.0
6.0;0.0
6.0500001907;0.0
6.0999999046;0.0
6.1500000954;0.0
6.1999998093;0.0
6.25;0.0
6.3000001907;0.0
6.3499999046;0.0
6.4000000954;0.0
6.4499998093;0.0
6.5;0.0
6.5500001907;0.0
6.5999999046;0.0
6.6500000954;0.0
6.6999998093;0.0056709423661
6.75;0.036322526634
6.8000001907;0.036356791854
6.8499999046;0.034544359893
6.9000000954;0.037910532206
6.9499998093;0.030275056139
7.0;0.027079790831
7.0500001907;0.019934540614
7.0999999046;0.010230412707
7.1500000954;0.0036850592587
7.1999998093;0.0
7.25;0.0
7.3000001907;0.0
7.3499999046;0.0
7.4000000954;0.0
7.4499998093;0.0
7.5;0.0
7.5500001907;0.0
7.5999999046;0.0
7.6500000954;0.0
7.6999998093;0.0
7.75;0.0
7.8000001907;0.0
7.8499999046;0.0
7.9000000954;0.021663183346
7.9499998093;0.0035918843932
8.0;0.013468028046
8.0500001907;0.034243296832
8.1000003815;0.043420337141
8.1499996185;0.033191550523
8.1999998093;0.033683642745
8.25;0.02805817686
8.3000001907;0.033416375518
8.3500003815;0.026530403644
8.3999996185;0.012134250253
8.4499998093;0.0024761669338
8.5;0.0029547507875
8.5500001907;0.0
8.6000003815;0.0
8.6499996185;0.0
8.6999998093;0.0
8.75;0.0
8.8000001907;0.0
8.8500003815;0.0
8.8999996185;0.0
8.9499998093;0.0
9.0;0.0
9.0500001907;0.0
9.1000003815;0.0
9.1499996185;0.014592629857
9.1999998093;0.020674156025
9.25;0.022060105577
9.3000001907;0.029281148687
9.3500003815;0.043289136142
9.3999996185;0.047336265445
9.4495000839;0.046812336892
9.4995002747;0.049340743572
9.5495004654;0.04352620244
9.5994997025;0.040924970061
9.6494998932;0.036705236882
9.6995000839;0.025214264169
9.7495002747;0.022818338126
9.7995004654;0.0091150691733
9.8494997025;0.0020746695809
9.8994998932;0.00012724255794
9.9495000839;0.0
9.9995002747;0.0
10.049500465;0.0
10.099499702;0.0
10.149499893;0.0
10.199500084;0.0
10.249500275;0.012159206904
10.299500465;0.014333399013
10.349499702;0.009485126473
10.399499893;0.020467447117
10.449500084;0.027262032032
10.499500275;0.035246755928
10.549500465;0.045093286783
10.599499702;0.042661301792
10.649499893;0.047614585608
10.699500084;0.049411494285
10.749500275;0.048259548843
10.799500465;0.055406451225
10.849499702;0.046571746469
10.899499893;0.036767099053
10.949500084;0.031482212245
10.999500275;0.024268718436
11.049500465;0.019481342286
11.099499702;0.00632468611
11.149499893;0.00061965791974
11.199500084;0.0
11.249500275;0.0
11.299500465;0.0
11.349499702;0.0
11.399499893;0.00032410034328
11.449500084;0.0057468046434
11.499500275;0.0095139890909
11.549500465;0.01373434905
11.599499702;0.02314816229
11.649499893;0.029231019318
11.699500084;0.038144417107
11.749500275;0.044441621751
11.799500465;0.04733248055
11.849499702;0.050406429917
11.899499893;0.052621282637
11.949500084;0.051549430937
11.999500275;0.052222676575
12.049500465;0.052430391312
12.099499702;0.047393076122
12.149499893;0.048431608826
12.199500084;0.044894494116
12.249500275;0.041589405388
12.299500465;0.031038857996
12.349499702;0.029867637902
12.399499893;0.025271866471
12.449500084;0.018315540627
12.499500275;0.01671981439
12.549500465;0.011958259158
12.599499702;0.013569345698
12.649499893;0.017836045474
12.699500084;0.016444185749
12.749500275;0.023392081261
12.799500465;0.02865447849
12.849499702;0.035371005535
12.899499893;0.045470949262
12.949500084;0.05254259333
12.999500275;0.060875415802
13.049500465;0.070299938321
13.099499702;0.072341620922
13.149499893;0.078894816339
13.199500084;0.074299678206
13.249500275;0.076775737107
13.299500465;0.068735808134
13.349499702;0.064198717475
13.399499893;0.05956826359
13.449500084;0.052060596645
13.499500275;0.045405033976
13.549500465;0.045089639723
13.599499702;0.037985123694
13.649499893;0.037724491209
13.699500084;0.035437170416
13.749500275;0.034853875637
13.799500465;0.035245489329
13.849499702;0.032619282603
13.899499893;0.033688921481
13.949500084;0.039072349668
13.999500275;0.039447728544
14.049500465;0.043992266059
14.099499702;0.045880109072
14.149499893;0.053505040705
14.199500084;0.057458918542
14.249500275;0.060435224324
14.299500465;0.063341699541
14.349499702;0.066451646388
14.399499893;0.069009974599
14.449500084;0.070638239384
14.499500275;0.067296765745
14.549500465;0.07004866004
14.599499702;0.061869770288
14.649499893;0.058607980609
14.699500084;0.051517479122
14.749500275;0.047624215484
14.799500465;0.037370167673
14.849499702;0.03465173766
14.899499893;0.027913745493
14.949500084;0.028424292803
14.999500275;0.02566318959
15.049500465;0.023264793679
15.099499702;0.032245412469
15.149499893;0.031552750617
15.199500084;0.042290247977
15.249500275;0.043285679072
15.299500465;0.054858125746
15.349499702;0.06167788431
15.399499893;0.063712723553
15.449500084;0.072886019945
15.499500275;0.072590045631
15.549500465;0.076637685299
15.599499702;0.073251672089
15.649499893;0.074044428766
15.699500084;0.072348192334
15.749500275;0.06952496618
15.799500465;0.064656317234
15.849499702;0.06088520959
15.899499893;0.059204276651
15.949500084;0.052388392389
15.999500275;0.048862677068
16.049499512;0.044759299606
16.099500656;0.042126625776
16.149499893;0.040128320456
16.19949913;0.038238529116
16.249500275;0.040223713964
16.299499512;0.035525336862
16.349500656;0.04151128605
16.399499893;0.040844146162
16.44949913;0.045199099928
16.499500275;0.049717824906
16.549499512;0.055969659239
16.599500656;0.061055798084
16.649499893;0.070854194462
16.69949913;0.074706941843
16.749500275;0.082221232355
16.799499512;0.084170341492
16.849500656;0.089055553079
16.899499893;0.088442474604
16.94949913;0.091293461621
16.999500275;0.084902174771
17.049499512;0.086497537792
17.099500656;0.079846382141
17.149499893;0.077610850334
17.19949913;0.069775767624
17.249500275;0.069000996649
17.299499512;0.060125190765
17.349500656;0.058387111872
17.399499893;0.055287439376
17.44949913;0.055964712054
17.499500275;0.05389355123
17.549499512;0.054997701198
17.599500656;0.055988509208
17.649499893;0.062110614032
17.69949913;0.064573585987
17.749500275;0.063931651413
17.799499512;0.068875350058
17.849500656;0.073991194367
17.899499893;0.078266628087
17.94949913;0.079945869744
17.999500275;0.085040159523
